Username,Nickname,Messages,Tokens
"Aaryaman#0001","Aaryaman",8,523.3528357947825
"Chris#5446","Chris",8,523.3528357947825
"Rhomboid#4607","Rhomboid",8,523.3528357947825
"BeeBoi#1020","BeeBoi",8,523.3528357947825
"digitalswap#4762","digitalswap",8,523.3528357947825
"OxCrispy#3089","OxCrispy",8,523.3528357947825
"zaqy#7054","zaqy",8,523.3528357947825
"romad#9189","romad",8,523.3528357947825
"saugustu#4432","saugustu",8,523.3528357947825
"stevebug#3262","stevebug",8,523.3528357947825
"Fangio#0397","Fangio",8,523.3528357947825
"camarilla#3852","camarilla",8,523.3528357947825
"f1cken#7092","f1cken",8,523.3528357947825
"mohammad ameer#0928","mohammad ameer",8,523.3528357947825
"Lecter#6754","Lecter",8,523.3528357947825
"TsuDohNimh#6766","TsuDohNimh",8,523.3528357947825
"CCEEMM.ETH#0001","CCEEMM.ETH",8,523.3528357947825
"Arvi#7244","Arvi",8,523.3528357947825
"langmei#0007","lang",7,494.5476739097727
"Designer [GFXZ]#8207","Designer [GFXZ]",7,494.5476739097727
"uwu1#4864","uwu1",7,494.5476739097727
"Mr.Bull#0561","Mr.Bull",7,494.5476739097727
"Tim Carambat#3802","Tim Carambat",7,494.5476739097727
"niftynewbie#6393","niftynewbie",7,494.5476739097727
"jcsj#3705","jcsj",7,494.5476739097727
"Yahav#1368","Yahav",7,494.5476739097727
"kamran#1922","kamran",7,494.5476739097727
"steventey#3924","steventey",7,494.5476739097727
"sualehasif996#8908","sualehasif996",7,494.5476739097727
"GueRakun#0159","GueRakun",7,494.5476739097727
"psyops#3007","psyops",7,494.5476739097727
"joker13 Ξ the other dao#6161","joker13 Ξ the other dao",7,494.5476739097727
"killadelphia#9387","killadelphia",7,494.5476739097727
"Manket#6932","Manket",7,494.5476739097727
"abemassry#4602","abemassry",7,494.5476739097727
"javipark#8849","javipark",7,494.5476739097727
"justkaran#4082","justkaran",7,494.5476739097727
"ayanb.eth#0986","ayanb.eth",7,494.5476739097727
"Immanuel#4469","Immanuel",7,494.5476739097727
"SeaDragon#4392","SeaDragon",7,494.5476739097727
"will#5710","will",7,494.5476739097727
"LuckofBuck (Ben)#3777","LuckofBuck (Ben)",6,465.7425120247629
"kphemraj#2006","kphemraj",6,465.7425120247629
"RGRTHAT#4381","RGRTHAT",6,465.7425120247629
"cryptocrypto203#9210","cryptocrypto203",6,465.7425120247629
"honmashinsei#4535","honmashinsei",6,465.7425120247629
"baybutt#1093","baybutt",6,465.7425120247629
"ibab#2790","ibab",6,465.7425120247629
"Ale borda#2295","Ale borda",6,465.7425120247629
"legenddawg#7185","legenddawg",6,465.7425120247629
"spontaneousdani#0252","spontaneousdani",6,465.7425120247629
"JMI#6790","JMI",6,465.7425120247629
"Developer9300#3096","Developer9300",6,465.7425120247629
"iSILD#3316","iSILD",6,465.7425120247629
"MuchCoin#2576","MuchCoin",6,465.7425120247629
"vishalr#6172","vishalr",6,465.7425120247629
"ADCfan#6376","ADCfan",6,465.7425120247629
"gpal#6846","gpal",6,465.7425120247629
"Emito45#9248","Emito45",6,465.7425120247629
"gojira#3673","gojira",6,465.7425120247629
"ri—ch#1022","ri—ch",6,465.7425120247629
"ExDreamerWC3#7722","ExDreamerWC3",6,465.7425120247629
"ptrkdy#4442","ptrkdy",6,465.7425120247629
"daneshbadlani#6599","daneshbadlani",6,465.7425120247629
"Cryptocreated#8919","Cryptocreated",6,465.7425120247629
"Ps23Gold#9463","Ps23Gold",6,465.7425120247629
"MΞLK#8101","MΞLK",6,465.7425120247629
"KOOWONG#2410","KOOWONG",6,465.7425120247629
"ihar#7824","ihar",6,465.7425120247629
"dot#8888","dot",5,436.9373501397531
"ollie#9986","ollie",5,436.9373501397531
"Nord#4948","Nord",5,436.9373501397531
"debabrata#4488","debabrata",5,436.9373501397531
"Aveesh#1683","Aveesh",5,436.9373501397531
"Guardian#9643","Guardian",5,436.9373501397531
"madhavg.eth#4168","madhavg.eth",5,436.9373501397531
"cryptoGhandhi#1236","cryptoGhandhi",5,436.9373501397531
"nezamioculcas#9495","nezamioculcas",5,436.9373501397531
"AI_WAIFU#2844","AI_WAIFU",5,436.9373501397531
"MGP#4296","MGP",5,436.9373501397531
"cryptpalsingh#6143","cryptpalsingh",5,436.9373501397531
"abhirai#4320","abhirai",5,436.9373501397531
"Dfriedman#6773","Dfriedman",5,436.9373501397531
"Enki#9506","Enki",5,436.9373501397531
"imadee#6849","imadee",5,436.9373501397531
"Oxpepper.eth#6370","Oxpepper.eth",5,436.9373501397531
"rockefeller#4746","rockefeller",5,436.9373501397531
"SpeKKi#1433","SpeKKi",5,436.9373501397531
"Rioda#8188","Rioda",5,436.9373501397531
"schneida#1436","schneida",5,436.9373501397531
"bojack#1506","bojack",5,436.9373501397531
"gstej#0692","gstej",5,436.9373501397531
"haroon#5268","haroon",5,436.9373501397531
"TheSystem#4353","TheSystem",5,436.9373501397531
"janus#0150","janus",5,436.9373501397531
"Spidey#2169","Spidey",5,436.9373501397531
"Niezinhah#2075","Niezinhah",5,436.9373501397531
"GaryNEKO#0323","GaryNEKO",5,436.9373501397531
"0huahua#5115","0huahua",5,436.9373501397531
"sm0ke#8683","sm0ke",5,436.9373501397531
"sckncgl#3450","sckncgl",5,436.9373501397531
"shpr0ta#3334","shpr0ta",5,436.9373501397531
"CoolGrek#6307","CoolGrek",5,436.9373501397531
"noone#0711","noone",5,436.9373501397531
"rtver#3212","rtver",5,436.9373501397531
"Michail#1560","Michail",5,436.9373501397531
"lostcow#1394","lostcow",5,436.9373501397531
"sparks1030#9958","sparks1030",5,436.9373501397531
"ty13r#0303","ty13r",5,436.9373501397531
"HenkReardenUA#8181","HenkReardenUA",4,408.1321882547433
"Orlando#5565","Orlando",4,408.1321882547433
"brycc#4473","brycc",4,408.1321882547433
"asadoughi#6704","asadoughi",4,408.1321882547433
"whitelion#6329","whitelion",4,408.1321882547433
"stakepile#7999","stakepile",4,408.1321882547433
"Dunit#0530","Dunit",4,408.1321882547433
"dmvaldman#4711","dmvaldman",4,408.1321882547433
"Keeg#6651","Keeg",4,408.1321882547433
"r3dcl0ud#0007","r3dcl0ud",4,408.1321882547433
"friendlywhale51#3584","friendlywhale51",4,408.1321882547433
"degenapecrypto#2501","degenapecrypto",4,408.1321882547433
"tomiwaadey#5956","tomiwaadey",4,408.1321882547433
"nejc#9118","nejc",4,408.1321882547433
"alexnotis#9234","alexnotis",4,408.1321882547433
"H.T.S#8926","H.T.S",4,408.1321882547433
"danilakochatko#6976","danilakochatko",4,408.1321882547433
"Артём131#6715","Артём131",4,408.1321882547433
"stevenwalsh.eth#7043","stevenwalsh.eth",4,408.1321882547433
"øDin 🐺#2300","øDin 🐺",4,408.1321882547433
"OliverTwist#9763","OliverTwist",4,408.1321882547433
"CJ-Aivia#9906","CJ-Aivia",4,408.1321882547433
